Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market
AMD A10-7850K APU x 1,1,AMD,28,2411.0,3.7,95,,4.0,2014,7,,Desktop
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,1,AMD,28,2411.0,3.9,95,34.1,4.0,2015,8,,Desktop
AMD A6-3410MX APU x 1,1,AMD,32,1178.0,,45,,4.0,2011,4,,Mobile
AMD Athlon 3000G x 1,1,AMD,14,4950.0,3.5,35,42.7,2.0,2019,12,49.0,Desktop
AMD EPYC 4124P x 1,1,AMD,5,6570.0,3.8,65,83.2,4.0,2024,17,149.0,Server/Workstation
AMD EPYC 4244P x 1,1,AMD,5,6570.0,3.8,65,83.2,6.0,2024,17,229.0,Server/Workstation
AMD EPYC 4245P x 1,1,AMD,4,8315.0,3.9,65,89.6,6.0,2025,18,239.0,Server/Workstation
AMD EPYC 4344P x 1,1,AMD,5,6570.0,3.8,65,83.2,8.0,2024,17,329.0,Server/Workstation
AMD EPYC 4345P x 1,1,AMD,4,8315.0,3.8,65,89.6,8.0,2025,18,329.0,Server/Workstation
AMD EPYC 4364P x 1,1,AMD,5,6570.0,4.5,105,83.2,8.0,2024,17,399.0,Server/Workstation
AMD EPYC 4464P x 1,1,AMD,5,13140.0,3.7,65,83.2,12.0,2024,17,429.0,Server/Workstation
AMD EPYC 4465P x 1,1,AMD,4,16630.0,3.4,65,89.6,12.0,2025,18,399.0,Server/Workstation
AMD EPYC 4484PX x 1,1,AMD,5,17840.0,4.4,120,83.2,12.0,2024,17,599.0,Server/Workstation
AMD EPYC 4545P x 1,1,AMD,4,16630.0,3.0,65,89.6,16.0,2025,18,549.0,Server/Workstation
AMD EPYC 4564P x 1,1,AMD,5,13140.0,4.5,170,83.2,16.0,2024,17,699.0,Server/Workstation
AMD EPYC 4565P x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,589.0,Server/Workstation
AMD EPYC 4584PX x 1,1,AMD,5,17840.0,4.2,120,83.2,16.0,2024,17,699.0,Server/Workstation
AMD EPYC 4585PX x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,699.0,Server/Workstation
AMD EPYC 7232P x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,450.0,Server/Workstation
AMD EPYC 7251 x 1,1,AMD,14,4800.0,2.1,120,153.6,8.0,2017,10,,Server/Workstation
AMD EPYC 7252 x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,475.0,Server/Workstation
AMD EPYC 7262 x 1,1,AMD,7,15200.0,3.2,155,204.8,8.0,2019,12,575.0,Server/Workstation
AMD EPYC 7272 x 1,1,AMD,7,7600.0,2.9,120,85.3,12.0,2019,12,625.0,Server/Workstation
AMD EPYC 7282 x 1,1,AMD,7,7600.0,2.8,120,85.3,16.0,2019,12,650.0,Server/Workstation
AMD EPYC 72F3 x 1,1,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation
AMD EPYC 72F3 x 2,2,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation
AMD EPYC 7302 x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,978.0,Server/Workstation
AMD EPYC 7302P x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,825.0,Server/Workstation
AMD EPYC 7303 x 2,2,AMD,7,8300.0,2.4,130,204.8,16.0,2023,16,604.0,Server/Workstation
AMD EPYC 7313 x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation
AMD EPYC 7313 x 2,2,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation
AMD EPYC 7313P x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,913.0,Server/Workstation
AMD EPYC 7343 x 1,1,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation
AMD EPYC 7343 x 2,2,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation
AMD EPYC 7351P x 1,1,AMD,14,4800.0,2.4,170,170.6,16.0,2017,10,,Server/Workstation
AMD EPYC 7352 x 1,1,AMD,7,15200.0,2.3,155,204.8,24.0,2019,12,1350.0,Server/Workstation
