Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD A10-7850K APU x 1,,,,,,,,0.012722646310432571,,,,0.017563908800982523,,,
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,,,,,,,,0.5,,,,,,,
AMD A6-3410MX APU x 1,,,,,,,,,,,,0.004037956793862305,,,
AMD Athlon 3000G x 1,,,,,,,,0.034230253114009436,,,,0.029306388025223565,,,
AMD EPYC 4124P x 1,0.001779566377803382,,,,,,,0.002294157338705617,,0.004505734571272528,0.002258769757263128,0.0027223230490018148,0.001644434374852436,0.5773502691896258,
AMD EPYC 4244P x 1,,,,,,,,0.0009135746526957978,,0.5773502691896258,0.408248290463863,,0.0015012882827739864,0.5773502691896258,
AMD EPYC 4245P x 1,,,,,,,,0.0018744142455482662,,,0.5,,,,
AMD EPYC 4344P x 1,,,,,,,,0.0012437810945273632,,0.5773502691896258,0.44721359549995787,,0.31622776601683794,0.5773502691896257,
AMD EPYC 4345P x 1,,,,,,,,0.3779644730092272,,,0.26726124191242434,,,,
AMD EPYC 4364P x 1,0.0014450057099029184,,,,,,,0.0037114976633074942,,0.008762705923589204,0.005103103630798288,0.002840909090909091,0.0020717925729645302,0.005569815167191563,
AMD EPYC 4464P x 1,0.0003067217145221122,,,,,,,0.0057448455073534,,0.5773502691896258,0.37796447300922725,,0.0045327357768368435,0.5773502691896258,
AMD EPYC 4465P x 1,,,,,,,,0.0023105360443622922,,,0.5,,,,
AMD EPYC 4484PX x 1,0.02276971259944214,,,,,,,0.010819433087122661,,0.5,0.4082482904638631,0.5,,0.5,
AMD EPYC 4545P x 1,,,,,,,,0.0016368212527466377,,,0.33333333333333337,,,,
AMD EPYC 4564P x 1,0.002501946263337746,,,,,,,0.008883363181483767,,0.007925304224049887,0.31622776601683794,0.0008374786432583482,0.0021974678663327163,0.00672933624211558,
