Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance,Performance,FinanceBench,amg,numpy,hpcg,stockfish,nqueens,linux_kernel,pybench
AMD A10-7850K APU x 1,1,AMD,28,2411.0,3.7,95,34.1,4.0,2014,7,173.0,Desktop,-8.34180309036602,-2.1455557354293995,,,-1.9081278774028085,,,,,-1.1676839592567916
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,1,AMD,28,2411.0,3.9,95,34.1,4.0,2015,8,137.0,Desktop,-8.940791520457907,-2.2711615908495117,,,-1.8560715154467546,,,,,
AMD A6-3410MX APU x 1,1,AMD,32,1178.0,,45,25.6,4.0,2011,4,295.0,Mobile,-16.637069158406806,-3.88504507790945,,,,,,,,-2.172694481090179
AMD Athlon 3000G x 1,1,AMD,14,4950.0,3.5,35,42.7,2.0,2019,12,49.0,Desktop,-3.9136307699940622,-1.2169829211554086,,,-1.2499357118764394,,,,,-0.9373441410719874
AMD EPYC 4124P x 1,1,AMD,5,6570.0,3.8,65,83.2,4.0,2024,17,149.0,Server/Workstation,2.424266181170657,0.11205271312795306,-0.38769609566368146,,-0.23224486556055535,,-0.8037861369764485,,,0.02331944234514438
AMD EPYC 4244P x 1,1,AMD,5,6570.0,3.8,65,83.2,6.0,2024,17,229.0,Server/Workstation,2.8172379297752697,0.19445756464044017,,,-0.13175332701423237,,-0.35648228661866455,,,
AMD EPYC 4245P x 1,1,AMD,4,8315.0,3.9,65,89.6,6.0,2025,18,239.0,Server/Workstation,8.798894481080612,1.4487907874720887,,,0.18928105069779377,,,,,
AMD EPYC 4344P x 1,1,AMD,5,6570.0,3.8,65,83.2,8.0,2024,17,329.0,Server/Workstation,3.31301748452363,0.29842086667687073,,,-0.09372593142499319,,-0.08281713146635283,,,
AMD EPYC 4345P x 1,1,AMD,4,8315.0,3.8,65,89.6,8.0,2025,18,329.0,Server/Workstation,8.999764223237019,1.4909124955453188,,,0.21244095570089083,,,,,
AMD EPYC 4364P x 1,1,AMD,5,6570.0,4.5,105,83.2,8.0,2024,17,399.0,Server/Workstation,3.88614670621403,0.41860413323118895,-0.026975991560970414,,-0.07158480554778013,,-0.030584046834103873,,,0.06595796779179786
AMD EPYC 4464P x 1,1,AMD,5,13140.0,3.7,65,83.2,12.0,2024,17,429.0,Server/Workstation,3.8009080161782407,0.400729867153641,-0.05026583122896966,,-0.08752628354546843,,0.22681538330849094,,,
AMD EPYC 4465P x 1,1,AMD,4,16630.0,3.4,65,89.6,12.0,2025,18,399.0,Server/Workstation,8.919973708394394,1.474180693447436,,,0.2032412588024668,,,,,
AMD EPYC 4484PX x 1,1,AMD,5,17840.0,4.4,120,83.2,12.0,2024,17,599.0,Server/Workstation,3.8069441524327834,0.40199562458666493,-0.10878508005669651,,-0.09000153233401065,,0.34340414229613714,,,-0.06520319381076156
AMD EPYC 4545P x 1,1,AMD,4,16630.0,3.0,65,89.6,16.0,2025,18,549.0,Server/Workstation,8.903927139908182,1.4708157821068966,,,0.2013911195143061,,,,,
AMD EPYC 4564P x 1,1,AMD,5,13140.0,4.5,170,83.2,16.0,2024,17,699.0,Server/Workstation,4.235933099899875,0.4919531613359336,-0.04127969917081309,,-0.07891084563985284,,0.6168607173648759,,,0.05465841253786419
AMD EPYC 4565P x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,589.0,Server/Workstation,9.039385890100489,1.4992210255761802,,,0.21700925967127027,,,,,
AMD EPYC 4584PX x 1,1,AMD,5,17840.0,4.2,120,83.2,16.0,2024,17,699.0,Server/Workstation,4.145992718467143,0.4730929664154132,-0.06318338115566036,,-0.08382486044228177,,0.651888155487395,,,-0.01233495815795127
AMD EPYC 4585PX x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,699.0,Server/Workstation,8.770585159862206,1.4428544182045635,,,0.21792042146551616,,,,,0.3213390954552571
AMD EPYC 7232P x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,450.0,Server/Workstation,-1.062474327875687,-0.6191050225891455,-1.0650901905082524,0.18355907057927467,-1.1923382200931032,,,-0.4353180712578455,,-0.7845813865195765
AMD EPYC 7251 x 1,1,AMD,14,4800.0,2.1,120,153.6,8.0,2017,10,574.0,Server/Workstation,-2.6241520494316517,-0.9465835785213158,,,,,,-0.6466271649250523,,-1.0563609831772993
AMD EPYC 7252 x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,475.0,Server/Workstation,-1.6905208440951496,-0.7508042607551741,,,-1.1273333897841074,,,-0.4353180712578455,,
AMD EPYC 7262 x 1,1,AMD,7,15200.0,3.2,155,204.8,8.0,2019,12,575.0,Server/Workstation,-1.4900665034048872,-0.7087696609696448,,,-1.0467529031247675,,,-0.3746934494414105,,-0.7237039010206052
AMD EPYC 7272 x 1,1,AMD,7,7600.0,2.9,120,85.3,12.0,2019,12,625.0,Server/Workstation,-0.7338049889820294,-0.550184169717634,-1.0650685730932619,0.20224877754770887,-1.0997454332652783,,,-0.08701137698962969,,-0.7756418714807678
AMD EPYC 7282 x 1,1,AMD,7,7600.0,2.8,120,85.3,16.0,2019,12,650.0,Server/Workstation,-0.5707335338009345,-0.5159886350568362,-1.0727778979514753,0.1980663297300751,-1.0929657462798996,,,0.2006706954621511,,-0.7805278746863946
AMD EPYC 72F3 x 1,1,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation,0.3684818822389588,-0.3190383271229247,,,-0.6327224321576805,,,-0.08701137698962969,-0.22338891998186217,-0.4334389601505704
