Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD A10-7850K APU x 1,,,,,,,,4.875197323201151,,,,-7.502738210754851,,,
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,,,,,,,,4.927253685157205,,,,,,,
AMD A6-3410MX APU x 1,,,,,,,,,,,,-8.507748732588238,,,
AMD Athlon 3000G x 1,,,,,,,,5.53338948872752,,,,-7.272398392570047,,,
AMD EPYC 4124P x 1,-10.75777521296855,,,,,,,6.551080335043404,,-8.205764725234456,-4.941642422609305,-6.311734809152915,-5.3706380281276624,16.17848353887314,
AMD EPYC 4244P x 1,,,,,,,,6.651571873589727,,-7.987864096085687,-4.59511985013459,,-5.056245805348308,16.625787389230926,
AMD EPYC 4245P x 1,,,,,,,,6.9726062513017535,,,-4.454347296253507,,,,
AMD EPYC 4344P x 1,,,,,,,,6.6895992691789665,,-7.930565854233965,-4.394449154672439,,-4.867534450455582,16.899452544383237,
AMD EPYC 4345P x 1,,,,,,,,6.9957661563048505,,,-4.2626798770413155,,,,
AMD EPYC 4364P x 1,-10.397055108865839,,,,,,,6.71174039505618,,-7.9561263512135,-4.382026634673881,-6.269096283706261,-4.859812404361672,16.951685629015486,
AMD EPYC 4464P x 1,-10.420344948533838,,,,,,,6.695798917058491,,-7.786551806428712,-4.143134726391533,,-4.6443908991413725,17.20908505915808,
AMD EPYC 4465P x 1,,,,,,,,6.9865664594064265,,,-4.060443010546419,,,,
AMD EPYC 4484PX x 1,-10.478864197361565,,,,,,,6.693323668269949,,-7.66105638236183,-4.04305126783455,-6.400257445308821,,17.325673818145727,
AMD EPYC 4545P x 1,,,,,,,,6.984716320118266,,,-3.970291913552122,,,,
AMD EPYC 4564P x 1,-10.411358816475682,,,,,,,6.704414354964107,,-7.7706452341291765,-3.9318256327243257,-6.280395838960195,-4.454347296253507,17.599130393214466,
AMD EPYC 4565P x 1,,,,,,,,7.00033446027523,,,-3.891820298110627,,,,
AMD EPYC 4584PX x 1,-10.433262498460529,,,,,,,6.699500340161678,,-7.620705086838262,-3.871201010907891,-6.3473892096560105,-4.3694478524670215,17.634157831336985,
AMD EPYC 4585PX x 1,,,,,,,,7.001245622069476,,,-3.7612001156935624,-6.013715156042802,,,
AMD EPYC 7232P x 1,-11.435169307813121,19.925372158847594,,,,-2.833213344056216,-3.8066624897703196,5.5909869805108565,,,,-7.119635638017636,,,
AMD EPYC 7251 x 1,,,,,,-3.044522437723423,,,,,,-7.3914152346753585,,,
AMD EPYC 7252 x 1,,,,,,-2.833213344056216,,5.655991810819852,,,,,,,
AMD EPYC 7262 x 1,,,,,,-2.772588722239781,,5.736572297479192,,,,-7.0587581525186645,,,
AMD EPYC 7272 x 1,-11.43514769039813,19.94406186581603,,,,-2.4849066497880004,-3.6375861597263857,5.683579767338681,-9.091106284052485,,,-7.110696122978827,,,
AMD EPYC 7282 x 1,-11.442857015256344,19.939879417998394,,,,-2.1972245773362196,-3.58351893845611,5.69035945432406,-8.864181369765426,,,-7.115582126184454,,,
AMD EPYC 72F3 x 1,,,,-6.926577033222725,,-2.4849066497880004,,6.150602768446279,,,,-6.76849321164863,,,
AMD EPYC 72F3 x 2,,,,,,,,6.222576268071369,-8.546946149565585,,,,,,
AMD EPYC 7302 x 1,,,,,,,,,,,,-7.103322062526113,,,
AMD EPYC 7302P x 1,-11.408242497502556,20.486548143662166,,,,-2.0794415416798357,,5.6937321388027,-8.807771066980044,,,,,,
AMD EPYC 7303 x 2,,,,,,,,,,,,,-3.912023005428146,17.662934283075714,
AMD EPYC 7313 x 1,,,,,9.904586947979428,,,,-8.68270762989381,,,,,,
AMD EPYC 7313 x 2,,,,,10.188290484237065,,,6.133398042996649,-8.09376775793108,-6.259581464064923,,-6.921658184151128,,,
AMD EPYC 7313P x 1,,,,,,,,6.102558594613569,,,,,,,
AMD EPYC 7343 x 1,,20.646084264735094,,,,,,,-8.609407675404048,,,,,,
AMD EPYC 7343 x 2,,21.234701438837913,,,10.242171626953942,,,,-8.024862150286411,,,,,,
AMD EPYC 7351P x 1,,,,,,-2.3025850929940455,,,,,,,,,
AMD EPYC 7352 x 1,,,,,,-1.791759469228055,,5.673323267171493,,,,-7.139660335964919,,,
AMD EPYC 7373X x 1,,,,,9.976412682550684,,,,-8.624791202014256,,,,,,
AMD EPYC 7373X x 2,,21.357419921901915,,,10.117227023775044,,,6.171700597410915,-8.056426767522984,-5.808142489980444,,,,,
AMD EPYC 73F3 x 1,-11.117955093954706,,,,,-1.791759469228055,,6.142037405587356,-8.57035473953047,,,-6.755768921984256,,,
AMD EPYC 73F3 x 2,-11.155350115788332,,,,,-1.0986122886681098,,6.139884552226255,-7.985824666418917,,,-6.75343791859778,,,
AMD EPYC 7402 x 2,,,,,,,,,,,,-7.099201743553092,,,
AMD EPYC 7402P x 1,-11.394682323481389,20.42184530657945,,,,-1.791759469228055,-3.5263605246161616,5.717027701406222,-8.459564078579602,,,,,,
AMD EPYC 7413 x 1,,,,,,,,,-8.39840965542627,,,,,,
AMD EPYC 7443 x 1,,20.643746312721877,,,9.891819747668446,,,,-8.335911094196945,,,,,,
AMD EPYC 7443 x 2,,21.23885147365421,,,10.250864402868727,-0.6931471805599453,,,-7.701200180857446,,,,,,
AMD EPYC 7452 x 1,,,,,,-1.6094379124341003,,5.717027701406222,,,,-7.074116816197362,,,
AMD EPYC 7453 x 1,,,,,,-1.3862943611198906,,,-8.312135107648412,,,,,,
AMD EPYC 7453 x 2,,,,,,-0.6931471805599453,,,-7.695757990554761,,,,,,
AMD EPYC 7473X x 1,,,,,,,,,,-6.2766434893416445,,,,,
AMD EPYC 74F3 x 1,-11.153016726521098,20.765463525086126,,-6.063785208687608,10.004101822568721,-1.3862943611198906,,6.135564891081739,-8.29529885950246,,,,,,
AMD EPYC 74F3 x 2,,21.36602921098825,,-5.472270673671475,10.16087792924552,-0.6931471805599453,,6.20050917404269,-7.716906135298388,,,,,,
AMD EPYC 7502 x 1,,,,,,-1.6094379124341003,,5.703782474656201,,,,-7.0967213784947605,,,
AMD EPYC 7502 x 2,,,,,,,,,,,,-7.126087273299125,,,
AMD EPYC 7502P x 1,-11.393218078938776,20.467876272709468,,,,-1.6094379124341003,-3.4965075614664802,5.720311776607412,-8.211754397375197,,,-7.072421900537371,,,
AMD EPYC 7513 x 1,,,,,,,,,-8.188411308079031,,,,,,
AMD EPYC 7513 x 2,-11.263373767879715,,,,,-0.6931471805599453,,5.998936561946683,-7.534762657037537,,,-6.84587987526405,,,
AMD EPYC 7532 x 1,-11.410914887554046,20.631447749483915,,,,-1.6094379124341003,-3.5263605246161616,5.700443573390687,-8.203851372183879,-6.725033642166843,,-7.087573705557973,,,
AMD EPYC 7542 x 1,-11.3753057264371,20.47026171465055,,,,-1.3862943611198906,-3.4965075614664802,5.733341276897746,-8.207946941048617,,,,,,
AMD EPYC 7543 x 1,,20.74762847705307,,-5.918893854273146,,-1.3862943611198906,,6.09807428216624,-8.106514516255185,-6.519147287940395,,,,,
AMD EPYC 7543 x 2,,21.35937878436743,,-5.3471075307174685,,-0.6931471805599453,,6.0473721790462776,-7.518064181233078,-5.768320995793772,,,,,
AMD EPYC 7551 x 1,-11.995956369584729,,,-6.423246963533519,,,-3.784189633918261,,,,,,-4.564348191467836,16.681235166125504,-8.510168576479273
AMD EPYC 7551 x 2,,21.22469642283155,3.5263605246161616,,,,,,,-6.246106765481563,,,,,
AMD EPYC 7552 x 1,-11.41441918306865,20.570024959956342,,,,-1.0986122886681098,-3.5263605246161616,5.703782474656201,-7.909856667269403,,,-7.085064293952548,,,
AMD EPYC 7573X x 1,,20.791975024065422,,,,,,,,-6.052089168924417,,,,,
AMD EPYC 7573X x 2,,21.393893853763924,,,,,,,,-5.318119993844216,,,,,
AMD EPYC 75F3 x 1,-11.133332761029457,20.618513398594324,,-5.8805329864007,9.832152654931505,-1.0986122886681098,-3.258096538021482,6.133398042996649,-8.052614818815567,-6.4967749901858625,,-6.75110146893676,,,
AMD EPYC 75F3 x 2,,21.293987919882753,,-5.2574953720277815,9.96749468251042,-0.6931471805599453,-3.295836866004329,6.154858094016418,-7.48324441607385,-5.736572297479192,,-6.77078942390898,,,-8.631592731724734
AMD EPYC 7601 x 1,-11.715580553857102,20.550975584360856,,,9.35772535888924,,,5.54907608489522,,,-4.127134385045092,,,,
AMD EPYC 7601 x 2,-11.757861818730365,,,,8.787678239039497,-1.0986122886681098,-3.6635616461296463,5.529429087511423,-7.88758403166028,-6.29156913955832,,-7.3708601665367155,,,-9.035153304082828
AMD EPYC 7601 x 8,,,,,,-3.7376696182833684,,,,,,,,,
AMD EPYC 7642 x 1,-11.417119162117213,20.611004083545087,,,9.871274230171476,-1.0986122886681098,-3.4965075614664802,5.717027701406222,-7.884576510596324,,,-7.110696122978827,,,
AMD EPYC 7642 x 2,,,,,9.61092693263324,-0.6931471805599453,,,,,,,,,
AMD EPYC 7643 x 1,,,,-5.730099782973574,,-1.0986122886681098,,6.073044534100405,-7.899153483343097,-6.473890696352274,,,,,
AMD EPYC 7643 x 2,,,,-5.181783550292085,,0.0,,6.07073772800249,-7.550135342488429,-5.6937321388027,,,,,
AMD EPYC 7662 x 1,-11.417416265362776,20.602874880243196,,,,-1.0986122886681098,-3.4965075614664802,5.697093486505405,-7.706162970199576,,,-7.089243155027514,,,
AMD EPYC 7663 x 1,,,,,,,,6.037870919922137,-7.859026979751538,,,,,,
AMD EPYC 7663 x 2,,21.374734753888163,,-5.10594547390058,10.074958790275668,0.0,,6.054439346269371,-7.631431664576906,-5.69035945432406,,,,,
AMD EPYC 7663P x 1,,,,,,,,,,-6.656726524178391,,,,,
AMD EPYC 7702 x 1,,20.58565823356566,,,9.859013062434299,-1.0986122886681098,-3.4965075614664802,5.720311776607412,-7.720461694599722,,,-7.072421900537371,,,
AMD EPYC 7713 x 1,-11.193312311981844,20.706885055532148,,-5.652489180268651,9.992093490870152,-1.0986122886681098,-3.4339872044851463,6.089044875446846,-7.759614150696903,-6.448889394146858,,-6.86484777797086,,,
AMD EPYC 7713 x 2,-11.273690640756074,21.37684653086031,,-5.123963979403259,10.105734278137353,0.0,-3.4011973816621555,6.077642243349034,-7.669028288589683,-5.655991810819852,,-6.84587987526405,,,
AMD EPYC 7713P x 1,,,,,,,,,-7.937374696163295,,,,,,
AMD EPYC 7742 x 1,-11.382873725609954,20.602570895429267,,,,,-3.4965075614664802,5.733341276897746,-7.745868229792268,,,-7.074963197966044,,,
AMD EPYC 7742 x 2,-11.40591915128506,,,-5.117993812416755,,-0.6931471805599453,-3.4965075614664802,5.749392985908253,-7.644440761556566,,,-7.1284959456800365,,,
AMD EPYC 7763 x 1,,20.736824165990583,,-5.5012582105447265,9.990215556045952,-0.6931471805599453,-3.4339872044851463,5.981414211254481,-7.67786350067821,-6.448889394146858,,-6.905753276311464,,,
AMD EPYC 7763 x 2,-11.29588823208778,21.379132214310435,,-4.990432586778736,10.120693511183584,0.0,-3.4339872044851463,6.016157159698354,-7.579167967396076,-5.6240175061873385,,-6.920671504248683,,,
AMD EPYC 7773X x 1,,20.777520394562874,,-5.476463551931511,10.02601487181582,-0.6931471805599453,,6.124683390894205,-7.679251425953058,,,-6.915723448631314,,,
AMD EPYC 7773X x 2,,21.419414729856744,3.6375861597263857,-4.962844630259907,10.144274539022932,,,6.1224928095143865,-7.585281078639126,,-3.4965075614664802,,,,-9.214830277249035
AMD EPYC 7F32 x 1,,,2.3978952727983707,-6.955592608396297,,-2.639057329615259,-3.58351893845611,5.846438775057725,,,-4.727387818712341,-6.921658184151128,-5.153291594497779,16.54668687705192,-8.057060681965766
AMD EPYC 7F32 x 2,,,,,,,,5.883322388488279,,,,,,,
