Samples,Test,Units,Score,SD,Model,Multiplier,socket,foundry,process_size,transistors,die_size,package,market,production_status,release_date,launch_price,part#,frequency,turbo_clock,base_clock,multiplier,multiplier_unlocked,tdp,codename,generation,memory_support,rated_speed,memory_bus,memory_bandwidth,ecc_memory,pci-express,#_of_cores,#_of_threads,smp_#_cpus,integrated_graphics,cache_l1,cache_l2,cache_l3
11.0,FinanceBench,ms (Average),25684,40,AMD Ryzen 9 9950X,1,AMD Socket AM5,TSMC,4 nm,"16,630 million",2x 70.6 mm²,FC-LGA1718,Desktop,Active,"Aug 15th, 2024",$649,100-000001277,4.3 GHz,up to 5.7 GHz,100 MHz,43.0x,Yes,170 W,Granite Ridge,Ryzen 9  (Zen 5 (Granite Ridge)),DDR5,5600 MT/s,Dual-channel,89.6 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,80 KB (per core),1 MB (per core),64 MB (shared)
5.0,FinanceBench,ms (Average),28695,181,AMD RYZEN AI MAX+ 395,1,AMD Socket FP11,TSMC,4 nm,,2x 70.6 mm²,FC-BGA,Mobile,Active,"Jan 6th, 2025",,100-000001099,3 GHz,up to 5.1 GHz,100 MHz,30.0x,No,55 W,Strix Halo,Ryzen AI Max  (Zen 5 (Strix Halo)),LPDDR5X,8000 MT/s,Quad-channel,256.0 GB/s,Yes,"Gen 4, 16 Lanes (CPU only)",16,32,1,Radeon 8060S,80 KB (per core),1 MB (per core),64 MB (shared)
16.0,FinanceBench,ms (Average),30855,242,Intel Core i9-13900K,1,Intel Socket 1700,Intel,10 nm,,257 mm²,FC-LGA16A,Desktop,Active,"Sep 27th, 2022",$589,SRMBH,3 GHz,up to 5.8 GHz,100 MHz,30.0x,Yes,125 W,Raptor Lake-S,Core i9  (Raptor Lake),"DDR4, DDR5",,Dual-channel,,Yes,"Gen 5, 16 Lanes (CPU only)",24,32,1,UHD Graphics 770,80 KB (per core),2 MB (per core),36 MB (shared)
9.0,FinanceBench,ms (Average),31891,53,AMD Ryzen 7 7700X,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$399,100-000000591,4.5 GHz,up to 5.4 GHz,100 MHz,45.0x,Yes,105 W,Raphael,Ryzen 7  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",8,16,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
9.0,FinanceBench,ms (Average),31980,608,AMD Ryzen 9 7950X,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$699,100-000000514,4.5 GHz,up to 5.7 GHz,100 MHz,45.0x,Yes,170 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",16,32,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
6.0,FinanceBench,ms (Average),32485,625,Intel Core i9-14900K,1,Intel Socket 1700,Intel,10 nm,,257 mm²,FC-LGA16A,Desktop,Active,"Oct 17th, 2023",$589,SRN48,3.2 GHz,up to 6 GHz,100 MHz,32.0x,Yes,125 W,Raptor Lake-R,Core i9  (Raptor Lake Refresh),"DDR4, DDR5",,Dual-channel,,Yes,"Gen 5, 16 Lanes (CPU only)",24,32,1,UHD Graphics 770,80 KB (per core),2 MB (per core),36 MB (shared)
3.0,FinanceBench,ms (Average),32763,82,AMD EPYC 4364P,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$399,100-000001477,4.5 GHz,up to 5.4 GHz,100 MHz,45.0x,No,105 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",8,16,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
7.0,FinanceBench,ms (Average),32770,76,AMD Ryzen 9 7900X,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$549,100-000000589,4.7 GHz,up to 5.6 GHz,100 MHz,47.0x,Yes,170 W,Raphael,Ryzen 9  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
12.0,FinanceBench,ms (Average),33097,1341,Intel Core i9-12900K,1,Intel Socket 1700,Intel,10 nm,,215 mm²,FC-LGA16A,Desktop,Active,"Nov 4th, 2021",$599,SRL4H,3.2 GHz,up to 5.2 GHz,100 MHz,32.0x,Yes,125 W,Alder Lake-S,Core i9  (Alder Lake-S),"DDR4, DDR5",,Dual-channel,,No,"Gen 5, 20 Lanes (CPU only)",16,24,1,UHD Graphics 770,80 KB (per core),1.25 MB (per core),30 MB (shared)
7.0,FinanceBench,ms (Average),33235,220,AMD EPYC 4564P,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$699,100-000001476,4.5 GHz,up to 5.7 GHz,100 MHz,45.0x,No,170 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",16,32,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
