,Models,Cleaned,Multipliers
0,AMD Ryzen 9 9950X 16-Core,AMD Ryzen 9 9950X,1
1,AMD RYZEN AI MAX+ 395,AMD RYZEN AI MAX+ 395,1
2,Intel Core i9-13900K,Intel Core i9-13900K,1
3,AMD Ryzen 7 7700X 8-Core,AMD Ryzen 7 7700X,1
4,AMD Ryzen 9 7950X 16-Core,AMD Ryzen 9 7950X,1
5,Intel Core i9-14900K,Intel Core i9-14900K,1
6,AMD EPYC 4364P 8-Core,AMD EPYC 4364P,1
7,AMD Ryzen 9 7900X 12-Core,AMD Ryzen 9 7900X,1
8,Intel Core i9-12900K,Intel Core i9-12900K,1
9,AMD EPYC 4564P 16-Core,AMD EPYC 4564P,1
10,AMD EPYC 4464P 12-Core,AMD EPYC 4464P,1
11,AMD EPYC 4584PX 16-Core,AMD EPYC 4584PX,1
12,AMD EPYC 4484PX 12-Core,AMD EPYC 4484PX,1
13,AMD Ryzen 9 5900X 12-Core,AMD Ryzen 9 5900X,1
14,AMD Ryzen 5 7600X 6-Core,AMD Ryzen 5 7600X,1
15,Intel Core i9-11900K,Intel Core i9-11900K,1
16,AMD Ryzen 9 5950X 16-Core,AMD Ryzen 9 5950X,1
17,AMD Ryzen 7 5800X 8-Core,AMD Ryzen 7 5800X,1
18,AMD Ryzen 7 5800X3D 8-Core,AMD Ryzen 7 5800X3D,1
19,Intel Core i9-10900K,Intel Core i9-10900K,1
20,Intel Core i5-13600K,Intel Core i5-13600K,1
21,AMD EPYC 4124P 4-Core,AMD EPYC 4124P,1
22,AMD Ryzen Threadripper 3970X 32-Core,AMD Ryzen Threadripper 3970X,1
23,AMD Ryzen Threadripper 3990X 64-Core,AMD Ryzen Threadripper 3990X,1
24,AMD Ryzen 9 3900XT 12-Core,AMD Ryzen 9 3900XT,1
25,Intel Core i5-12600K,Intel Core i5-12600K,1
26,Intel Core i7-7900X,Intel Core i7-7900X,1
27,Intel Core i5-11600K,Intel Core i5-11600K,1
28,Intel Core i9-7980XE,Intel Core i9-7980XE,1
29,Intel Core i5-13400,Intel Core i5-13400,1
30,AMD Ryzen 7 PRO 5850U,AMD Ryzen 7 PRO 5850U,1
31,AMD Ryzen Threadripper 2990WX 32-Core,AMD Ryzen Threadripper 2990WX,1
32,AMD Ryzen 7 PRO 6850U,AMD Ryzen 7 PRO 6850U,1
33,AMD Ryzen 5 3600XT 6-Core,AMD Ryzen 5 3600XT,1
34,AMD EPYC 73F3 16-Core,AMD EPYC 73F3,1
35,AMD EPYC 75F3 32-Core,AMD EPYC 75F3,1
36,AMD Ryzen Threadripper 3960X 24-Core,AMD Ryzen Threadripper 3960X,1
37,AMD EPYC 74F3 24-Core,AMD EPYC 74F3,1
38,2 x AMD EPYC 73F3 16-Core,AMD EPYC 73F3,2
39,Intel Xeon E-2278GEL,Intel Xeon E-2278GEL,1
40,AMD Ryzen 7 1700 Eight-Core,AMD Ryzen 7 1700 Eight-Core,1
41,AMD EPYC 7713 64-Core,AMD EPYC 7713,1
42,Intel Core i9-9900KS,Intel Core i9-9900KS,1
43,AMD EPYC 7F52 16-Core,AMD EPYC 7F52,1
44,Intel Core i9-9900K,Intel Core i9-9900K,1
45,2 x AMD EPYC 7513 32-Core,AMD EPYC 7513,2
46,2 x AMD EPYC 7713 64-Core,AMD EPYC 7713,2
47,2 x AMD EPYC 7F52 16-Core,AMD EPYC 7F52,2
48,2 x AMD EPYC 7763 64-Core,AMD EPYC 7763,2
49,AMD Ryzen 5 4500U,AMD Ryzen 5 4500U,1
50,2 x Intel Xeon Gold 6248R,Intel Xeon Gold 6248R,2
51,Intel Core i7-1280P,Intel Core i7-1280P,1
52,AMD EPYC 7542 32-Core,AMD EPYC 7542,1
53,AMD EPYC 7742 64-Core,AMD EPYC 7742,1
54,Intel Core i7-6700,Intel Core i7-6700,1
55,AMD EPYC 7502P 32-Core,AMD EPYC 7502P,1
56,AMD EPYC 7402P 24-Core,AMD EPYC 7402P,1
57,Intel Xeon Gold 6258R,Intel Xeon Gold 6258R,1
58,2 x AMD EPYC 7742 64-Core,AMD EPYC 7742,2
59,Intel Core i7-6800K,Intel Core i7-6800K,1
60,AMD EPYC 7302P 16-Core,AMD EPYC 7302P,1
61,AMD EPYC 7532 32-Core,AMD EPYC 7532,1
62,Intel Xeon Platinum 8280,Intel Xeon Platinum 8280,1
63,AMD EPYC 7552 48-Core,AMD EPYC 7552,1
64,AMD EPYC 7642 48-Core,AMD EPYC 7642,1
65,AMD EPYC 7662 64-Core,AMD EPYC 7662,1
66,Intel Xeon E-2388G,Intel Xeon E-2388G,1
67,AMD EPYC 7272 12-Core,AMD EPYC 7272,1
68,AMD EPYC 7232P 8-Core,AMD EPYC 7232P,1
69,2 x Intel Xeon Gold 5220R,Intel Xeon Gold 5220R,2
70,AMD EPYC 7282 16-Core,AMD EPYC 7282,1
71,Intel Xeon Gold 6226R,Intel Xeon Gold 6226R,1
72,Intel Xeon Gold 5220R,Intel Xeon Gold 5220R,1
73,AMD Ryzen 7 3800XT 8-Core,AMD Ryzen 7 3800XT,1
74,Intel Core i7-8700K,Intel Core i7-8700K,1
75,AMD Ryzen 7 PRO 3700 8-Core,AMD Ryzen 7 PRO 3700,1
76,AMD Ryzen 9 PRO 3900 12-Core,AMD Ryzen 9 PRO 3900,1
77,Intel Xeon E5-1680 v3,Intel Xeon E5-1680 v3,1
78,Intel Core i7-7700K,Intel Core i7-7700K,1
79,Intel Xeon E-2278G,Intel Xeon E-2278G,1
80,Intel Core i7-1165G7,Intel Core i7-1165G7,1
81,AMD Ryzen 7 2700 Eight-Core,AMD Ryzen 7 2700 Eight-Core,1
82,AMD Ryzen Threadripper 2970WX 24-Core,AMD Ryzen Threadripper 2970WX,1
83,Intel Xeon E5-2687W v3,Intel Xeon E5-2687W v3,1
84,Intel Core i5-9400F,Intel Core i5-9400F,1
85,AMD Ryzen Threadripper 2950X 16-Core,AMD Ryzen Threadripper 2950X,1
86,Intel Xeon E3-1275 v6,Intel Xeon E3-1275 v6,1
87,AMD EPYC 7601 32-Core,AMD EPYC 7601,1
88,Intel Core i7-9750H,Intel Core i7-9750H,1
89,Intel Core i7-8565U,Intel Core i7-8565U,1
90,2 x AMD EPYC 7601 32-Core,AMD EPYC 7601,2
91,Intel Xeon E3-1245 v5,Intel Xeon E3-1245 v5,1
92,Intel Xeon E3-1280 v5,Intel Xeon E3-1280 v5,1
