,index,Component,Samples,Test,Units,Score,SD
0,0,AMD Ryzen 9 9950X 16-Core,11.0,FinanceBench,ms (Average),25684,40
1,1,AMD RYZEN AI MAX+ 395,5.0,FinanceBench,ms (Average),28695,181
2,2,Intel Core i9-13900K,16.0,FinanceBench,ms (Average),30855,242
3,3,AMD Ryzen 7 7700X 8-Core,9.0,FinanceBench,ms (Average),31891,53
4,4,AMD Ryzen 9 7950X 16-Core,9.0,FinanceBench,ms (Average),31980,608
5,5,Intel Core i9-14900K,6.0,FinanceBench,ms (Average),32485,625
6,6,AMD EPYC 4364P 8-Core,3.0,FinanceBench,ms (Average),32763,82
7,7,AMD Ryzen 9 7900X 12-Core,7.0,FinanceBench,ms (Average),32770,76
8,8,Intel Core i9-12900K,12.0,FinanceBench,ms (Average),33097,1341
9,9,AMD EPYC 4564P 16-Core,7.0,FinanceBench,ms (Average),33235,220
10,10,AMD EPYC 4464P 12-Core,5.0,FinanceBench,ms (Average),33535,23
11,11,AMD EPYC 4584PX 16-Core,7.0,FinanceBench,ms (Average),33971,76
12,12,AMD EPYC 4484PX 12-Core,7.0,FinanceBench,ms (Average),35556,2142
13,13,AMD Ryzen 9 5900X 12-Core,32.0,FinanceBench,ms (Average),40435,849
14,14,AMD Ryzen 5 7600X 6-Core,6.0,FinanceBench,ms (Average),40510,194
15,15,Intel Core i9-11900K,18.0,FinanceBench,ms (Average),40832,1415
16,16,AMD Ryzen 9 5950X 16-Core,50.0,FinanceBench,ms (Average),41062,3421
17,17,AMD Ryzen 7 5800X 8-Core,22.0,FinanceBench,ms (Average),41132,2609
18,18,AMD Ryzen 7 5800X3D 8-Core,15.0,FinanceBench,ms (Average),41672,287
19,20,Intel Core i9-10900K,12.0,FinanceBench,ms (Average),43934,591
20,21,Intel Core i5-13600K,8.0,FinanceBench,ms (Average),46643,2123
21,22,AMD EPYC 4124P 4-Core,5.0,FinanceBench,ms (Average),46994,187
22,23,AMD Ryzen Threadripper 3970X 32-Core,5.0,FinanceBench,ms (Average),47100,69
23,24,AMD Ryzen Threadripper 3990X 64-Core,8.0,FinanceBench,ms (Average),48774,500
24,25,AMD Ryzen 9 3900XT 12-Core,4.0,FinanceBench,ms (Average),48927,109
25,26,Intel Core i5-12600K,11.0,FinanceBench,ms (Average),51155,7490
26,27,Intel Core i7-7900X,3.0,FinanceBench,ms (Average),52528,517
27,28,Intel Core i5-11600K,5.0,FinanceBench,ms (Average),53680,1519
28,29,Intel Core i9-7980XE,5.0,FinanceBench,ms (Average),55718,104
29,30,Intel Core i5-13400,4.0,FinanceBench,ms (Average),55937,597
30,31,AMD Ryzen 7 PRO 5850U,6.0,FinanceBench,ms (Average),56805,234
31,32,AMD Ryzen Threadripper 2990WX 32-Core,4.0,FinanceBench,ms (Average),57608,1174
32,33,AMD Ryzen 7 PRO 6850U,5.0,FinanceBench,ms (Average),60063,6313
33,34,AMD Ryzen 5 3600XT 6-Core,4.0,FinanceBench,ms (Average),64941,742
34,35,AMD EPYC 73F3 16-Core,4.0,FinanceBench,ms (Average),67370,441
35,36,AMD EPYC 75F3 32-Core,7.0,FinanceBench,ms (Average),68414,1118
36,37,AMD Ryzen Threadripper 3960X 24-Core,3.0,FinanceBench,ms (Average),68788,65
37,38,AMD EPYC 74F3 24-Core,4.0,FinanceBench,ms (Average),69774,161
38,40,2 x AMD EPYC 73F3 16-Core,4.0,FinanceBench,ms (Average),69937,124
39,41,Intel Xeon E-2278GEL,4.0,FinanceBench,ms (Average),70943,317
40,42,AMD Ryzen 7 1700 Eight-Core,6.0,FinanceBench,ms (Average),71314,151
41,44,AMD EPYC 7713 64-Core,6.0,FinanceBench,ms (Average),72643,8736
42,45,Intel Core i9-9900KS,3.0,FinanceBench,ms (Average),73862,367
43,46,AMD EPYC 7F52 16-Core,7.0,FinanceBench,ms (Average),76154,923
44,47,Intel Core i9-9900K,3.0,FinanceBench,ms (Average),77199,87
45,48,2 x AMD EPYC 7513 32-Core,4.0,FinanceBench,ms (Average),77915,388
46,49,2 x AMD EPYC 7713 64-Core,6.0,FinanceBench,ms (Average),78723,692
47,50,2 x AMD EPYC 7F52 16-Core,3.0,FinanceBench,ms (Average),79310,686
48,51,2 x AMD EPYC 7763 64-Core,10.0,FinanceBench,ms (Average),80490,1141
49,52,AMD Ryzen 5 4500U,11.0,FinanceBench,ms (Average),80791,3181
50,53,2 x Intel Xeon Gold 6248R,4.0,FinanceBench,ms (Average),81295,213
51,54,Intel Core i7-1280P,3.0,FinanceBench,ms (Average),81520,4163
52,55,AMD EPYC 7542 32-Core,4.0,FinanceBench,ms (Average),87143,392
53,56,AMD EPYC 7742 64-Core,5.0,FinanceBench,ms (Average),87805,432
54,57,Intel Core i7-6700,5.0,FinanceBench,ms (Average),87957,175
55,58,AMD EPYC 7502P 32-Core,5.0,FinanceBench,ms (Average),88718,516
56,59,AMD EPYC 7402P 24-Core,5.0,FinanceBench,ms (Average),88848,477
57,60,Intel Xeon Gold 6258R,3.0,FinanceBench,ms (Average),89643,465
58,61,2 x AMD EPYC 7742 64-Core,10.0,FinanceBench,ms (Average),89852,392
59,62,Intel Core i7-6800K,3.0,FinanceBench,ms (Average),89989,453
