Component	Percentile Rank	# Compatible Public Results	Figure Of Merit (Average)
4 x EPYC 9V64H	100th	4	28427624167 +/- 1099483669
2 x Intel Xeon 6980P	100th	22	8110403243 +/- 777617637
2 x AMD EPYC 9755 128-Core	100th	30	6236738724 +/- 103440146
2 x AMD EPYC 9575F 64-Core	99th	4	6118251292 +/- 222241584
2 x AMD EPYC 9655 96-Core	99th	5	5966481533 +/- 7190502
2 x AMD EPYC 9965 192-Core	99th	3	5829853000
2 x AMD EPYC 9684X 96-Core	97th	17	4454792977 +/- 411539338
2 x AMD EPYC 9374F 32-Core	96th	5	4295199760 +/- 41056407
2 x AMD EPYC 9554 64-Core	95th	20	4254051136 +/- 200318498
2 x AMD EPYC 9384X 32-Core	95th	7	4163476714 +/- 30522303
Intel Xeon 6980P	94th	18	4017497092 +/- 531193476
2 x AMD EPYC 9184X 16-Core	94th	4	3805841500 +/- 28037861
2 x INTEL XEON PLATINUM 8592+	94th	13	3661048872 +/- 69090165
AMD EPYC 9755 128-Core	92nd	14	3176911820 +/- 10038433
AMD EPYC 9575F 64-Core	92nd	5	3169647350 +/- 58816125
2 x Intel Xeon Platinum 8490H	92nd	21	3129521492 +/- 37072405
2 x Intel Xeon Platinum 8468	91st	3	3100295222 +/- 2484531
AMD EPYC 9655 96-Core	91st	8	3081358334 +/- 4937562
AMD EPYC 9965 192-Core	90th	4	2976345000
2 x Intel Xeon Platinum 8462Y+	90th	3	2934523250 +/- 83986278
AMD EPYC 9655P 96-Core	89th	14	2879738476 +/- 288940622
2 x Intel Xeon Gold 6442Y	89th	3	2751978867 +/- 104639021
AMD EPYC 9845 160-Core	89th	9	2504185778 +/- 5914618
AMD EPYC 9684X 96-Core	88th	13	2371771308 +/- 23961740
AMD EPYC 9374F 32-Core	87th	4	2347293400 +/- 2240800
AMD EPYC 9554 64-Core	87th	14	2340931881 +/- 19425062
AMD EPYC 9654 96-Core	87th	18	2313470685 +/- 25109827
AMD EPYC 9754 128-Core	86th	10	2281132167 +/- 12986170
2 x Intel Xeon Platinum 8380	84th	39	2078694926 +/- 88666899
2 x Intel Xeon Platinum 8362	83rd	9	2058083667 +/- 14617413
ARMv8 Neoverse-V2 72-Core	83rd	12	2051690935 +/- 103355351
2 x AMD EPYC 7773X 64-Core	82nd	39	2006012444 +/- 24074437
2 x AMD EPYC 7573X 32-Core	81st	5	1955465000 +/- 10517622
2 x AMD EPYC 7763 64-Core	80th	34	1926811140 +/- 20513869
2 x AMD EPYC 7713 64-Core	79th	30	1922412089 +/- 13820700
2 x AMD EPYC 7663 56-Core	79th	3	1918356667
2 x AMD EPYC 74F3 24-Core	78th	4	1901728813 +/- 874625
2 x Intel Xeon Gold 6342	77th	6	1898265875 +/- 12917094
2 x AMD EPYC 7543 32-Core	77th	5	1889123467 +/- 8876157
2 x AMD EPYC 7373X 16-Core	77th	3	1885426556 +/- 61290540
AmpereOne 160-Core	76th	3	1832053667
Mid-Tier	75th		< 1828079333
INTEL XEON PLATINUM 8592+	75th	13	1827466282 +/- 16577048
AmpereOne 192-Core	75th	18	1825673741 +/- 31861207
AmpereOne 128-Core	75th	4	1791333000
2 x AMD EPYC 75F3 32-Core	75th	19	1769544348 +/- 227817578
ARMv8 Neoverse-V1 64-Core	75th	4	1756428167 +/- 2684966
AmpereOne 96-Core	74th	3	1692750000
AMD Ryzen Threadripper PRO 7995WX 96-Cores	73rd	9	1686991185 +/- 38978069
2 x AMD EPYC 7443 24-Core	73rd	5	1674618933 +/- 17565603
2 x AMD EPYC 7343 16-Core	73rd	7	1667683607 +/- 18121518
2 x Intel Xeon Gold 6346	73rd	6	1658642167 +/- 13757287
2 x AMD EPYC 7551 32-Core	72nd	19	1651081596 +/- 101992233
Intel Xeon Platinum 8468	71st	4	1615399750 +/- 9676909
Intel Xeon Platinum 8490H	71st	16	1610420021 +/- 6213893
Intel Xeon Max 9480	71st	4	1599463667 +/- 1697795
2 x AMD EPYC 9534 64-Core	71st	4	1598723100 +/- 64292986
2 x AMD EPYC 7F52 16-Core	70th	3	1593214763 +/- 12854437
Intel Xeon Platinum 8471N	70th	3	1591542111 +/- 9079603
Intel Xeon Platinum 8462Y+	70th	3	1573718583 +/- 10850144
Intel Xeon Gold 6442Y	70th	3	1541901267 +/- 1356311
Ampere ARMv8 Neoverse-N1 256-Core	70th	3	1532822630 +/- 48955518
2 x AMD EPYC 7F72 24-Core	68th	14	1445737090 +/- 7125391
2 x Intel Xeon Platinum 8280	68th	22	1395595856 +/- 178746938
AmpereOne 64-Core	68th	3	1354105667
2 x Intel Xeon Gold 5220R	67th	6	1226897182 +/- 87678589
AMD Ryzen Threadripper PRO 9995WX 96-Cores	66th	5	1218982400 +/- 1625620
AMD EPYC 8534P 64-Core	66th	8	1152834667 +/- 1941482
AMD EPYC 8534PN 64-Core	66th	8	1150494125 +/- 2271037
