Component	Percentile Rank	# Compatible Public Results	Score (Average)
AMD Ryzen 9 9950X3D 16-Core	100th	8	1101 +/- 37
AMD EPYC 4585PX 16-Core	100th	29	1098 +/- 5
AMD EPYC 4565P 16-Core	100th	22	1097 +/- 4
AMD EPYC 4345P 8-Core	100th	7	1092
AMD EPYC 4465P 12-Core	99th	4	1082 +/- 5
AMD EPYC 4545P 16-Core	99th	8	1080 +/- 5
AMD EPYC 4245P 6-Core	99th	4	1067 +/- 4
AMD Ryzen 9 9900X 12-Core	98th	12	1059 +/- 32
AMD Ryzen 7 9700X 8-Core	98th	8	1056 +/- 6
AMD Ryzen 9 9900X3D 12-Core	98th	4	1052 +/- 4
AMD Ryzen 9 9950X 16-Core	98th	34	1048 +/- 85
AMD Ryzen 5 9600X 6-Core	98th	14	1042 +/- 15
AMD Ryzen 7 9800X3D 8-Core	97th	9	1035 +/- 4
2 x AMD EPYC 9575F 64-Core	97th	4	982 +/- 42
AMD EPYC 9575F 64-Core	97th	3	962
Apple M4 Pro	96th	3	926 +/- 33
AMD Ryzen 9 7950X 16-Core	95th	51	885 +/- 89
AMD Ryzen 7 7700X 8-Core	95th	23	883 +/- 66
AMD EPYC 9655P 96-Core	95th	5	873 +/- 25
2 x AMD EPYC 9655 96-Core	95th	5	872
AMD EPYC 9655 96-Core	95th	7	867 +/- 3
AMD Ryzen 5 7600X 6-Core	94th	18	858 +/- 61
AMD Ryzen 9 7900X 12-Core	93rd	24	840 +/- 60
AMD Ryzen 7 7700 8-Core	92nd	19	824 +/- 43
AMD Ryzen 9 7950X3D 16-Core	92nd	26	823 +/- 79
AMD EPYC 4364P 8-Core	92nd	13	822 +/- 11
AMD Ryzen 9 7900 12-Core	92nd	12	817 +/- 42
AMD EPYC 4564P 16-Core	92nd	22	816 +/- 34
AMD EPYC 4584PX 16-Core	91st	19	812 +/- 47
AMD Ryzen 9 7900X3D 12-Core	91st	17	810 +/- 69
AMD EPYC 4464P 12-Core	91st	15	809 +/- 18
AMD EPYC 4484PX 12-Core	91st	17	807 +/- 36
AMD EPYC 4344P 8-Core	91st	9	804 +/- 3
AMD EPYC 9755 128-Core	91st	18	800 +/- 21
2 x AMD EPYC 9755 128-Core	90th	12	798 +/- 25
AMD Ryzen 7 7800X3D 8-Core	89th	15	785 +/- 50
AMD EPYC 4244P 6-Core	88th	8	774 +/- 2
AMD Ryzen 5 7600 6-Core	88th	6	771 +/- 52
Intel Core i9-13900K	87th	15	766 +/- 20
Intel Core i9-14900K	87th	18	759 +/- 65
2 x AMD EPYC 9965 192-Core	86th	13	746 +/- 20
AMD EPYC 9965 192-Core	86th	10	744 +/- 14
AMD Ryzen Threadripper PRO 7995WX 96-Cores	86th	6	743 +/- 18
AMD Ryzen Threadripper 7980X 64-Cores	86th	10	743 +/- 15
AMD Ryzen 7 PRO 7840U	85th	8	736 +/- 20
Intel Xeon 6369P	85th	11	727 +/- 3
