Component	Percentile Rank	# Compatible Public Results	Milliseconds (Average)
Intel Core Ultra 9 285K	100th	15	373 +/- 27
Intel Core Ultra 5 245K	100th	9	383 +/- 2
Intel Core i9-14900K	100th	34	387 +/- 16
AMD Ryzen 9 9950X3D 16-Core	100th	19	395 +/- 17
AMD Ryzen 9 9900X 12-Core	99th	13	398 +/- 7
AMD Ryzen 7 9700X 8-Core	99th	13	400 +/- 15
AMD EPYC 4585PX 16-Core	99th	6	409 +/- 1
AMD Ryzen 9 9900X3D 12-Core	99th	10	412 +/- 3
AMD Ryzen 9 9950X 16-Core	99th	30	413 +/- 33
AMD Ryzen 5 9600X 6-Core	99th	17	414 +/- 19
AMD Ryzen 7 9800X3D 8-Core	99th	13	417 +/- 2
Intel Xeon E E-2488	98th	5	428 +/- 30
Intel Core i5-14600K	98th	17	432 +/- 6
Apple M4 Pro	98th	5	440 +/- 40
Apple M4	98th	10	450 +/- 12
Intel Core i9-13900K	98th	48	452 +/- 45
AMD RYZEN AI MAX+ 395	97th	11	454 +/- 40
AMD RYZEN AI MAX+ PRO 395	97th	18	454 +/- 25
Intel Core i5-14500	97th	11	457 +/- 4
AMD Ryzen AI 5 340	97th	9	460 +/- 5
Intel Core i3-14100	96th	11	488 +/- 5
Intel Core i5-12600	96th	5	495 +/- 4
Intel Core Ultra 7 258V	96th	13	495 +/- 13
Intel Core i5-14400F	96th	9	499 +/- 20
AMD EPYC 9655P 96-Core	95th	5	503 +/- 27
Intel Core i5-13600K	95th	18	504 +/- 27
AMD EPYC 4364P 8-Core	94th	4	528 +/- 3
AMD EPYC 4564P 16-Core	93rd	5	534 +/- 1
Intel Core i5-12600K	93rd	28	535 +/- 8
2 x AMD EPYC 9755 128-Core	93rd	28	539 +/- 29
Intel Core i5-13400	93rd	7	545 +/- 40
AMD Ryzen 7 8700G	92nd	17	550 +/- 4
AMD EPYC 4124P 4-Core	92nd	4	551 +/- 3
AMD Ryzen 5 7600X 6-Core	92nd	30	556 +/- 28
AMD Ryzen 5 8600G	91st	18	561 +/- 23
AMD Ryzen 9 7900X 12-Core	91st	36	562 +/- 30
AMD Ryzen 7 7700X 8-Core	91st	38	564 +/- 37
AMD Ryzen 9 7950X 16-Core	91st	74	568 +/- 51
AMD Ryzen 7 7700 8-Core	91st	26	570 +/- 31
AMD EPYC 4584PX 16-Core	91st	4	571
AMD Ryzen Threadripper 7970X 32-Cores	91st	5	573 +/- 22
Intel Core Ultra 7 155H	91st	29	576 +/- 19
AMD Ryzen Z1 Extreme	91st	9	577 +/- 50
AMD EPYC 9755 128-Core	90th	8	583 +/- 2
AMD Ryzen 7 7840U	90th	24	584 +/- 35
Intel Core i5-12400	90th	18	589 +/- 9
2 x AMD EPYC 9965 192-Core	90th	8	589 +/- 45
AMD Ryzen 7 7840HS	90th	15	589 +/- 21
AMD Ryzen 9 7950X3D 16-Core	89th	34	593 +/- 56
AMD Ryzen 5 8400F 6-Core	89th	7	594 +/- 2
AMD Ryzen 9 7900X3D 12-Core	89th	26	594 +/- 61
AMD Ryzen 9 7900 12-Core	89th	24	599 +/- 79
AMD Ryzen 5 7600 6-Core	89th	14	602 +/- 29
AMD EPYC 4484PX 12-Core	89th	4	602
AMD Ryzen 7 PRO 7840U	88th	14	603 +/- 62
AMD Ryzen 7 8845HS	88th	5	615 +/- 21
Intel Xeon Platinum 8480+	88th	5	619 +/- 41
Intel Core i5-1334U	87th	15	623 +/- 48
AMD Ryzen 7 7800X3D 8-Core	87th	22	632 +/- 75
2 x Intel Xeon 6980P	86th	12	659 +/- 1
Intel Xeon 6980P	86th	6	660
Intel Core i7-11700K	85th	13	682 +/- 21
INTEL XEON PLATINUM 8592+	85th	4	689 +/- 5
Intel Core i9-11900K	85th	38	689 +/- 71
