Component	Percentile Rank	# Compatible Public Results	Nodes Per Second (Average)
2 x AMD EPYC 9965 192-Core	100th	5	638951954 +/- 16087209
2 x AMD EPYC 9755 128-Core	100th	12	554897375 +/- 11985084
2 x AMD EPYC 9655 96-Core	99th	9	430874441 +/- 15399389
2 x AMD EPYC 9684X 96-Core	98th	11	400788190 +/- 11635701
AMD EPYC 9965 192-Core	97th	8	366712405 +/- 5063870
2 x AMD EPYC 9575F 64-Core	95th	8	350712347 +/- 4470533
2 x Intel Xeon 6980P	94th	14	344612296 +/- 8760451
2 x AMD EPYC 9654 96-Core	94th	10	343855276 +/- 40578705
2 x AMD EPYC 9754 128-Core	93rd	9	329947400 +/- 34322176
AMD EPYC 9755 128-Core	93rd	22	317450310 +/- 11722751
2 x Intel Xeon 6766E	89th	3	235445499
AMD EPYC 9655 96-Core	89th	16	232069486 +/- 14925779
2 x INTEL XEON PLATINUM 8592+	87th	12	217940616 +/- 4801364
AMD EPYC 9684X 96-Core	86th	9	212059700 +/- 4780962
Intel Xeon 6980P	85th	9	200289385 +/- 6351216
AMD EPYC 9654 96-Core	83rd	10	193767319 +/- 9968714
AMD EPYC 9754 128-Core	83rd	8	192065275 +/- 5052270
2 x Intel Xeon Platinum 8490H	83rd	7	190316302 +/- 3186062
AMD EPYC 9575F 64-Core	81st	7	173635889 +/- 8139969
AMD Ryzen Threadripper 7980X 64-Cores	80th	6	158898617 +/- 5851590
2 x Intel Xeon Max 9468	78th	4	142473932 +/- 5192375
AmpereOne 192-Core	77th	25	129663585 +/- 2897595
Mid-Tier	75th		< 126758493
Intel Xeon 6780E	75th	5	125194066
Intel Xeon 6766E	75th	5	122794246
ARMv8 Neoverse-V2 96-Core	74th	6	119306213 +/- 2180120
AmpereOne 160-Core	74th	3	119077506
INTEL XEON PLATINUM 8592+	72nd	11	109375679 +/- 542027
AMD EPYC 8534P 64-Core	71st	6	100770782 +/- 4951921
Intel Xeon Platinum 8490H	70th	8	94344505 +/- 3509638
ARMv8 Neoverse-V2 72-Core	70th	6	91314573 +/- 8323200
AMD EPYC 8534PN 64-Core	70th	3	90658156
AmpereOne 128-Core	69th	4	89911572
Intel Xeon Max 9480	67th	6	72920847 +/- 1040102
Intel Xeon Max 9468	65th	6	66510761 +/- 2336690
AmpereOne 96-Core	65th	3	66379026
AMD Ryzen Threadripper 3970X 32-Core	63rd	3	59063851 +/- 1769644
ARMv8 Neoverse-N1 128-Core	63rd	8	57655046 +/- 3088147
AMD Ryzen Threadripper PRO 5965WX 24-Cores	62nd	4	55483956 +/- 3856588
Intel Xeon Platinum 8380	62nd	3	51099545
AMD Ryzen 9 9950X 16-Core	60th	23	47798752 +/- 2768874
2 x AMD EPYC 7303 16-Core	59th	4	46872152 +/- 966178
AMD EPYC 4584PX 16-Core	58th	4	45542560
AMD Ryzen 9 7950X3D 16-Core	57th	6	45438216 +/- 1651625
AMD Ryzen 9 7950X 16-Core	57th	14	45080313 +/- 2062011
AMD EPYC 4564P 16-Core	56th	5	43974936 +/- 661702
AmpereOne 64-Core	56th	3	43751905
Intel Core Ultra 9 285K	53rd	9	38888041 +/- 879812
Intel Core i9-14900K	53rd	10	38584707 +/- 605496
AMD Ryzen 9 9900X 12-Core	52nd	8	38097300 +/- 2870877
Intel Core i9-13900K	51st	4	35541418 +/- 2536292
AMD Ryzen 9 7900X 12-Core	51st	5	35502698
Median	50th		35502698
AMD Ryzen 9 7900X3D 12-Core	50th	5	33924137
AMD EPYC 4484PX 12-Core	49th	4	33453729
AMD EPYC 4464P 12-Core	48th	3	29772183
